open,high,low,close,Volume,Volume MA,Date
50.19,53.09,48.95,52.28,1696234.4,582696.6484999971,2022-02-21
52.28,53.95,51.92,52.95,1460587.88,634175.6439999972,2022-02-21
52.94,53.28,50.03,50.12,1162949.07,632014.2099999972,2022-02-21
50.11,51.38,48.43,48.89,1319919.86,661529.3844999971,2022-02-22
48.89,50.5,48.73,49.03,802181.02,684114.8054999972,2022-02-22
49.02,51.88,48.95,51.84,849090.79,710914.6309999973,2022-02-22
51.83,54.0,51.31,53.64,1520006.96,769647.9779999973,2022-02-22
53.65,56.05,52.22,53.82,1736337.79,819414.0614999974,2022-02-22
53.84,54.95,52.6,54.74,717255.29,836093.4024999974,2022-02-22
54.74,56.25,54.54,55.87,982185.39,868247.5054999974,2022-02-23
55.87,56.88,55.66,56.63,759947.05,892940.9014999975,2022-02-23
56.63,59.72,56.37,58.79,1194717.05,931308.2259999976,2022-02-23
58.8,60.58,58.32,58.73,1520181.61,969434.0634999976,2022-02-23
58.74,65.21,58.22,59.93,2798546.58,1080817.5759999976,2022-02-23
59.95,61.06,58.73,59.58,1427897.44,1125939.3759999976,2022-02-23
59.59,60.4,54.33,54.92,2823097.74,1245915.1539999978,2022-02-24
54.92,56.32,50.25,52.76,3972078.41,1420383.8584999978,2022-02-24
52.75,54.47,51.48,52.64,2295557.87,1509989.7204999975,2022-02-24
52.64,58.2,51.93,57.73,2857294.9,1631159.0344999975,2022-02-24
57.74,63.0,56.44,62.55,3146921.57,1752149.4334999977,2022-02-24
62.53,66.07,61.26,65.15,2810216.46,1807848.5364999976,2022-02-24
65.15,68.0,64.13,67.51,2128004.73,1841219.3789999972,2022-02-25
67.51,67.75,65.08,67.16,1330155.06,1849579.6784999971,2022-02-25
67.16,67.35,63.84,66.09,1310072.41,1849087.3059999973,2022-02-25
66.1,67.85,64.66,66.91,1828344.11,1900395.460499997,2022-02-25
66.92,71.3,66.1,68.76,1920651.14,1953973.477999997,2022-02-25
68.77,73.83,67.44,73.13,1409442.11,1948445.2354999967,2022-02-25
73.12,75.7,72.64,74.24,1359209.21,1929588.8064999967,2022-02-26
74.25,75.54,72.16,73.94,772241.18,1932338.1009999968,2022-02-26
73.94,77.04,72.8,74.3,1526463.86,1959552.024499997,2022-02-26
74.29,75.61,73.5,74.64,845436.76,1963826.5099999967,2022-02-26
74.63,76.26,74.11,75.67,733881.66,1940784.740499997,2022-02-26
75.67,79.6,75.62,78.13,1124767.69,1921014.044499997,2022-02-26
78.14,79.0,73.36,74.04,1289324.77,1845552.9539999971,2022-02-27
74.04,76.69,72.71,75.8,949181.65,1821617.1644999972,2022-02-27
75.8,78.19,74.86,77.41,867039.86,1723814.2704999973,2022-02-27
77.42,77.88,74.58,76.46,1228382.47,1586629.473499997,2022-02-27
76.46,77.2,73.07,73.63,903548.9,1517029.024999997,2022-02-27
73.64,75.27,71.21,72.57,1339612.28,1441144.893999997,2022-02-27
72.57,74.33,70.78,71.17,1150276.78,1341312.6544999972,2022-02-28
71.18,74.0,70.44,73.58,968822.83,1249242.972999997,2022-02-28
73.59,74.9,73.25,74.28,755719.92,1180628.7324999971,2022-02-28
74.3,83.92,73.84,83.47,2786376.98,1253439.8284999973,2022-02-28
83.47,85.88,82.41,85.21,1816818.52,1278777.1339999973,2022-02-28
85.18,95.38,83.82,91.35,2365321.88,1305626.0224999972,2022-02-28
91.35,92.22,87.58,87.97,1426220.12,1280904.4714999972,2022-03-01
87.97,89.88,87.05,89.45,900068.76,1255435.8039999972,2022-03-01
