Date,open,high,low,close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2022-03-11 08:00:00,6.211,9.675,6.211,7.47,2396787.67,7.47,['inverse hammer'],None,0.36345265588914527,0.6365473441108547,0.0,,0
2022-03-11 12:00:00,7.47,7.89,6.717,6.882,2535064.84,6.882,[],None,0.5012787723785167,0.3580562659846547,0.14066496163682868,,0
2022-03-11 16:00:00,6.882,7.2,6.681,6.8,711067.87,6.8,[],None,0.15799614643545246,0.6127167630057812,0.22928709055876637,,0
2022-03-11 20:00:00,6.8,6.983,6.5,6.523,400821.46,6.523,['three black crows'],None,0.5734989648033133,0.3788819875776397,0.047619047619047006,,0
2022-03-12 00:00:00,6.53,7.268,6.5,6.946,892395.09,6.946,[],None,0.5416666666666662,0.41927083333333354,0.03906250000000033,,0
2022-03-12 04:00:00,6.947,7.2,6.761,6.817,595516.32,6.817,['shooting star'],None,0.2961275626423687,0.5763097949886107,0.1275626423690206,,0
2022-03-12 08:00:00,6.813,7.159,6.737,6.813,895852.17,6.813,['doji'],None,0.0,0.819905213270143,0.18009478672985704,,0
2022-03-12 12:00:00,6.813,7.049,6.659,6.709,380452.83,6.709,"['bearish engulfing', 'shooting star']",None,0.2666666666666665,0.605128205128206,0.12820512820512756,,0
2022-03-12 16:00:00,6.707,6.99,6.663,6.68,253461.8,6.68,[],None,0.08256880733944996,0.8654434250764538,0.05198776758409621,,0
2022-03-12 20:00:00,6.68,6.794,6.59,6.674,208029.56,6.674,[],None,0.02941176470587915,0.5588235294117648,0.41176470588235603,,0
2022-03-13 00:00:00,6.666,6.83,6.618,6.75,159170.49,6.75,['bullish engulfing'],None,0.39622641509433837,0.37735849056603854,0.22641509433962312,,0
2022-03-13 04:00:00,6.75,6.789,6.6,6.662,147338.28,6.662,['bearish engulfing'],None,0.46560846560846586,0.2063492063492047,0.3280423280423294,,0
2022-03-13 08:00:00,6.661,6.685,6.439,6.474,239930.02,6.474,[],None,0.7601626016260151,0.09756097560975636,0.14227642276422847,,0
2022-03-13 12:00:00,6.479,6.582,6.319,6.466,325323.83,6.466,"['three black crows', 'spanning top']",None,0.049429657794676445,0.3916349809885924,0.5589353612167312,,0
2022-03-13 16:00:00,6.466,6.62,6.362,6.362,204285.32,6.362,['three black crows'],None,0.4031007751937988,0.5968992248062012,0.0,,0
2022-03-13 20:00:00,6.365,6.503,6.191,6.222,209175.13,6.222,['three black crows'],None,0.45833333333333226,0.44230769230769157,0.09935897435897614,,0
2022-03-14 00:00:00,6.22,6.45,6.2,6.248,97934.71,6.248,['inverse hammer'],None,0.11200000000000188,0.8079999999999998,0.0799999999999983,,0
2022-03-14 04:00:00,6.247,6.4,6.18,6.269,180802.53,6.269,['spanning top'],None,0.10000000000000081,0.5954545454545448,0.30454545454545445,,0
2022-03-14 08:00:00,6.268,6.851,6.262,6.355,749234.89,6.355,"['three white soldiers', 'inverse hammer']",None,0.14770797962648655,0.8421052631578934,0.010186757215620073,,0
2022-03-14 12:00:00,6.352,6.386,6.2,6.276,264225.29,6.276,['falling three methods'],None,0.40860215053763727,0.18279569892473022,0.4086021505376325,6.6198999999999995,0
2022-03-14 16:00:00,6.277,6.308,6.19,6.277,191068.77,6.277,['doji'],None,0.0,0.2627118644067783,0.7372881355932217,6.560250000000001,0
2022-03-14 20:00:00,6.273,6.493,6.21,6.361,210999.43,6.361,"['morning star', 'bullish engulfing']",None,0.31095406360424016,0.4664310954063618,0.22261484098939802,6.5342,0
2022-03-15 00:00:00,6.361,6.45,6.201,6.218,126937.24,6.218,['bearish engulfing'],None,0.574297188755018,0.35742971887550284,0.06827309236947916,6.5051000000000005,0
2022-03-15 04:00:00,6.217,6.26,6.1,6.135,130150.18,6.135,[],None,0.5124999999999986,0.2687500000000007,0.2187500000000007,6.4857,0
