Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2020-01-01,7194.89209,7254.330566,7174.944336,7200.174316,7200.174316,['doji'],None,0.06653831527204844,0.6821869485425867,0.25127473618536483,,0,0.0350505777790657,0.030295674514028842,0.04926470271872094,0.03561545153033639
2020-01-02,7202.55127,7212.155273,6935.27002,6985.470215,6985.470215,['bearish engulfing'],None,0.7840108949392092,0.03468585956074866,0.18130324550004215,,0,0.03517303226715443,0.029631054893258166,0.04541606358310603,0.032185456583911184
2020-01-03,6984.428711,7413.715332,6914.996094,7344.884277,7344.884277,['bullish engulfing'],None,0.7227625055041506,0.1380156403751958,0.1392218541206536,,0,0.031685702513453595,0.032807340354395295,0.04509050919605956,0.03792725848984757
2020-01-04,7345.375488,7427.385742,7309.51416,7410.656738,7410.656738,[],None,0.5538336628077124,0.14192567636871642,0.30424066082357115,,0,0.03745649688110321,0.03302276559660951,0.05142559630032277,0.03897800324876555
2020-01-05,7410.45166,7544.49707,7400.535645,7411.317383,7411.317383,['doji'],None,0.0060135762062641885,0.9251067568968587,0.06887966689687713,,0,0.03849693062584281,0.03486826519760368,0.05288719992644009,0.03898855735090345
2020-01-06,7410.452148,7781.867188,7409.292969,7769.219238,7769.219238,[],None,0.9629412656703423,0.033947464303751215,0.0031112700259064937,,0,0.03849693842795611,0.03860886369937237,0.05302782317064979,0.04470620106729528
2020-01-07,7768.682129,8178.21582,7768.227539,8163.692383,8163.692383,[],None,0.9634671826144218,0.035424029595618474,0.0011087877899597107,,0,0.044224296832040225,0.04485472611680298,0.05879151807247278,0.051008087652360826
2020-01-08,8161.935547,8396.738281,7956.774414,8079.862793,8079.862793,[],None,0.18654430546679393,0.5336864038427959,0.2797692906904102,,0,0.0505116077439572,0.048298313696851294,0.061819163646406106,0.04966887210537464
2020-01-09,8082.295898,8082.295898,7842.403809,7879.071289,7879.071289,[],None,0.8471501075635717,0.0,0.15284989243642827,,0,0.0492383340449631,0.043343171420929374,0.0599826248227511,0.04646113717717633
2020-01-10,7878.307617,8166.554199,7726.774902,8166.554199,8166.554199,['bullish engulfing'],None,0.6554346327039577,0.0,0.34456536729604226,,0,0.045976982238900746,0.04467095638871617,0.05812588045349387,0.05105380645499143
